event_id,event_date,event_end_date,year,month,district,state,block,gram_panchayat,village_locality,river_stream,catchment,event_type,trigger,severity,flood_description,affected_population,deaths,injuries,houses_affected,roads_bridges_affected,agricultural_damage,infrastructure_damage,evacuated_population,latitude,longitude,location_precision,location_source,source_title,source_organization,source_publication_date,source_url,secondary_source_url,source_reliability,evidence_quote,confidence,data_notes
CHAMOLI-FLD-2017-001,2017-07-16,,2017,7,Chamoli,Uttarakhand,Joshimath,,Vishnuprayag,Alaknanda,Alaknanda,river_flood,extreme_rainfall,moderate,Surge in Alaknanda river washed away temporary riverbanks and triggered mud flows closing highway and inundating downstream structures.,,0,,1,NH-58 blocked due to river erosion and boulder deposition,None reported,Temporary labor sheds submerged,,30.5639,79.5762,river_site,Bhuvan / Survey of India,Border Roads Organisation Operational Dispatches - NH-58,Border Roads Organisation,2017-07-17,https://bro.gov.in/dispatches,,Tier 1,Alaknanda waters swelled rapidly at Vishnuprayag washing away river berms and cutting off access to Badrinath,high,BRO public clearance bulletins and USDMA situational alerts.
CHAMOLI-FLD-2018-001,2018-07-20,,2018,7,Chamoli,Uttarakhand,Joshimath,,Lambagar,Alaknanda,Alaknanda,flash_flood,cloudburst,moderate,A seasonal nallah in Lambagar overflowed violently following cloudburst bringing muck onto the road and into houses.,,0,,3,NH-58 inundated with 4 feet of debris and muck blocking movement,Agricultural plots adjoining stream damaged,Shops along highway inundated with silt,,30.6402,79.5516,village,Survey of India Open Series Map geocoding,Heavy Rainfall and Blockade Reports in Chamoli,Disaster Mitigation and Management Centre Uttarakhand,2018-07-22,https://dmmc.uk.gov.in/files/pdf/monsoon_2018.pdf,,Tier 1,Cloudburst at Lambagar caused flash flooding in local stream carrying heavy mud onto NH-58 and into shops,high,DMMC monsoon logs and district magistrate traffic advisories.
CHAMOLI-FLD-2019-001,2019-08-18,2019-08-19,2019,8,Chamoli,Uttarakhand,Ghat,,Mokh Malla,Chuflagad tributary,Nandakini,flash_flood,cloudburst,severe,Intense cloudburst spawned torrential debris flows and flash flooding down mountain channels submerging homes in Mokh Malla.,,1,2,5,Footpaths and primary trail destroyed,Terraced paddy fields destroyed by sediment deposition,Water supply pipelines and livestock shelters washed away,,30.2482,79.4891,village,Census of India 2011 Village Registry geocoded,Chamoli District Emergency Operation Centre SitRep,District Disaster Management Authority Chamoli,2019-08-20,https://chamoli.gov.in/deoc-sitrep-aug-2019,,Tier 1,Cloudburst in Ghat block led to flash floods in Mokh Malla village resulting in house damage and loss of life,high,DDMA Chamoli daily emergency relief bulletin.
CHAMOLI-FLD-2019-002,2019-08-18,2019-08-19,2019,8,Chamoli,Uttarakhand,Ghat,,Aali village,Chuflagad tributary,Nandakini,flash_flood,cloudburst,severe,Torrential runoff entered Aali village washing away residential buildings and burying agricultural plots under boulders.,,2,,6,Village pedestrian bridge washed away,Terrace farms washed out,Electric poles and boundary walls damaged,,30.2612,79.4754,village,Census of India 2011 Village Registry geocoded,Chamoli Disaster SitRep - August 2019 Cloudbursts,Uttarakhand State Disaster Management Authority,2019-08-21,https://usdma.uk.gov.in/sitreps-2019,,Tier 1,Severe flooding and land slips triggered by cloudburst reported from Aali village in Ghat area,high,USDMA official casualty and damage register.
CHAMOLI-FLD-2021-001,2021-02-07,2021-02-08,2021,2,Chamoli,Uttarakhand,Joshimath,,Raini (Reni),Rishiganga,Rishiganga,flash_flood,debris_flow_flood,extreme,Catastrophic rock and ice avalanche from Ronti peak caused a massive flash flood/debris flow along Rishiganga obliterating the Rishiganga Hydroelectric Project and Raini bridges.,,35,,5,Historic Raini bridge on Joshimath-Malari highway destroyed and 4 pedestrian bridges swept away,Total stripping of riparian agricultural banks,13.2 MW Rishiganga power project destroyed river gauging stations swept away,,30.4851,79.6917,village,High-resolution ISRO-NRSC / Science 2021 GIS mapping,A massive rock and ice avalanche caused the 2021 disaster at Chamoli Indian Himalaya,Science (AAAS) / Shugar et al.,2021-05-11,https://doi.org/10.1126/science.abh4455,https://www.nrsc.gov.in/Chamoli_Disaster_2021,Tier 2,The debris flow swept down the Rishiganga valley destroying the Rishiganga HEP and the road bridge at Reni village,high,Peer-reviewed multi-institution scientific consensus (Science paper) and official NRSC satellite audit.
CHAMOLI-FLD-2021-002,2021-02-07,2021-02-08,2021,2,Chamoli,Uttarakhand,Joshimath,,Tapovan,Dhauliganga,Dhauliganga,flash_flood,debris_flow_flood,extreme,Debris flood wave propagated down Dhauliganga completely overwhelming the NTPC Tapovan-Vishnugad hydro project site trapping workers in intake tunnels and burying barrages under meters of sediment.,,150,,12,Tapovan suspension bridge destroyed and approach roads buried,Extensive destruction of agricultural parcels along river valley,NTPC 520 MW Tapovan-Vishnugad project barrage completely silted tunnel network flooded and destroyed,100,30.4947,79.6304,village,High-resolution ISRO-NRSC / Science 2021 GIS mapping,Satellite-based assessment of 7 February 2021 Chamoli Disaster,National Remote Sensing Centre (ISRO),2021-02-15,https://www.nrsc.gov.in/Chamoli_Disaster_2021,https://doi.org/10.1126/science.abh4455,Tier 1,At Tapovan the hyperconcentrated flow overtopped the barrage of the Tapovan Vishnugad project drowning workers in the headrace tunnel,high,Conclusive multi-agency validation from NDRF
CHAMOLI-FLD-2021-003,2021-04-23,,2021,4,Chamoli,Uttarakhand,Joshimath,,Sumna,Sumna stream / Dhauliganga tributary,Dhauliganga,flash_flood,extreme_rainfall,severe,Snow avalanche combined with sudden melt runoff triggered high-velocity slurry flood over BRO labour camp near Sumna along the Rimkhim road.,,15,,0,BRO road formations washed away in stretches,,Labour accommodation containers and earth-moving machinery buried under flood slurry,384,30.6833,79.8833,locality,Border Roads Organisation / Survey of India,Sumna Avalanche and Flash Flood Assessment,Press Information Bureau (Ministry of Defence),2021-04-25,https://pib.gov.in/PressReleasePage.aspx?PRID=1713912,,Tier 1,A snow slurry flash flood hit the BRO camp at Sumna in Joshimath sector of Chamoli district following heavy blizzards and runoff,high,Official Ministry of Defence / Army press dispatches.
CHAMOLI-FLD-2021-004,2021-06-19,,2021,6,Chamoli,Uttarakhand,Joshimath,,Reni upstream / Rishiganga,Rishiganga,Rishiganga,flash_flood,landslide_dam_breach,severe,Breach of the artificial lake formed on Rishiganga post-February disaster triggered sudden flash flooding downstream at Reni damaging the newly constructed bailey bridge embankment.,,0,,0,Bailey bridge approach on Joshimath-Malari road threatened and temporarily closed,Erosion of freshly deposited terrace alluvium,Temporary restoration work and machinery evacuated,,30.4851,79.6917,village,ISRO-NRSC & State Disaster Management Authority,Rishiganga Artificial Lake Inundation Alert,Uttarakhand State Disaster Management Authority,2021-06-20,https://usdma.uk.gov.in/lake-breach-2021,,Tier 1,Water level in Rishiganga lake rose abruptly and breached channel leading to fresh flash flood scares at Reni village,high,Continuous sensor monitoring by SDRF and CWC confirmed the breach runoff.
CHAMOLI-FLD-2021-005,2021-10-18,2021-10-20,2021,10,Chamoli,Uttarakhand,Joshimath,,Badrinath town riverbanks,Alaknanda,Alaknanda,river_flood,extreme_rainfall,moderate,Unprecedented October cyclonic downpour caused Alaknanda to overflow into the lower perimeter of Badrinath town submerging bathing ghats and parking spaces.,,0,,2,Badrinath highway cut off at Lambagar by torrential overflow,,Riverside pathways and bathing ghats submerged under rapid silted current,150,30.7433,79.4938,town,Survey of India geocoding,Post-Event SitRep on October 2021 Western Disturbance Flooding,State Emergency Operations Centre Uttarakhand,2021-10-22,https://usdma.uk.gov.in/october-2021-flood-report,,Tier 1,Alaknanda river reached warning levels entering lower sections of Badrinath town and inundating ghats,high,Exceptional late-monsoon/October Western Disturbance extreme weather event.
CHAMOLI-FLD-2022-001,2022-08-19,2022-08-20,2022,8,Chamoli,Uttarakhand,Tharali,,Pranmati valley / Chepado village,Pranmati,Pindar,flash_flood,cloudburst,severe,Cloudburst in Pranmati river catchment triggered a destructive flash flood washing away local footbridges and damaging houses along riverbanks.,,0,,8,Motorable bridge approach at Chepado damaged and 2 culverts washed away,Large tracts of agricultural terraces washed out along Pranmati,Drinking water installations and irrigation canals smashed,,30.0812,79.5234,village,Census of India 2011 Village Registry geocoded,District Situation Bulletin on Pranmati Flash Flood,District Disaster Management Authority Chamoli,2022-08-21,https://chamoli.gov.in/pranmati-flood-2022,,Tier 1,Flash flood in Pranmati river following cloudburst washed away agricultural fields and damaged houses in Chepado village,high,Official daily report issued by Chamoli District Magistrate.
CHAMOLI-FLD-2023-001,2023-07-19,,2023,7,Chamoli,Uttarakhand,Chamoli,,Sewan village / Pipalkoti,Local stream / Alaknanda tributary,Alaknanda,flash_flood,extreme_rainfall,moderate,Sudden stream swelling generated mudflows into Sewan village inundating residential buildings and dumping heavy sediment onto connecting roads.,,0,,3,Badrinath NH-58 blocked near Pipalkoti due to debris inundation,Farmland eroded along stream banks,Boundary walls and residential basements silted,,30.4312,79.4289,village,Census of India 2011 Village Registry geocoded,Daily Disaster Bulletin: Chamoli Monsoon Impacts,Uttarakhand State Disaster Management Authority,2023-07-20,https://usdma.uk.gov.in/sitrep-july-2023,,Tier 1,Flash flood in local stream near Pipalkoti brought debris into Sewan village affecting houses and closing NH,high,Monitored live by District Disaster Emergency Center Chamoli.
CHAMOLI-FLD-2023-002,2023-08-13,2023-08-14,2023,8,Chamoli,Uttarakhand,Tharali,,Tharali / Sagardanga,Pindar,Pindar,flash_flood,cloudburst,severe,Torrential midnight cloudburst caused sudden flash flood inundating Tharali tehsil complex market areas and burying vehicles.,,1,2,12,Bridges connecting Tharali to Gwaldam blocked by massive boulders,Extensive erosion of riparian agricultural soil,Tehsil premises and police station premises flooded with 3 feet of silt and water,50,30.0631,79.4975,town,Survey of India Open Series Map geocoding,DDMA SitRep: Tharali Cloudburst and Inundation,District Magistrate Office Chamoli,2023-08-15,https://chamoli.gov.in/sitrep-tharali-cloudburst-2023,,Tier 1,"Midnight cloudburst in Tharali led to flash flood inundating government buildings, market shops, and residential premises",high,On-site inspection conducted by Chamoli District Administration and SDRF rescue squads.
CHAMOLI-FLD-2024-001,2024-07-31,2024-08-01,2024,7,Chamoli,Uttarakhand,Joshimath,,Vishnuprayag to Helang belt,Alaknanda,Alaknanda,river_flood,extreme_rainfall,severe,Heavy continuous cloudburst rains caused the Alaknanda and feeder tributaries to rise dramatically eroding highway foundations and flooding riverside utilities.,,0,,2,NH-58 washed out in segments between Joshimath and Helang,Erosion of low-level terraced orchards,Heavy machinery and processing units inundated at river bank sites,,30.5342,79.5121,locality,Survey of India Open Series Map geocoding,Incident Action Report: July 31 Cloudburst across Garhwal,State Disaster Management Authority Uttarakhand,2024-08-02,https://usdma.uk.gov.in/sitrep-aug-2024,,Tier 1,Severe river swell in Alaknanda basin inundated road infrastructure and triggered localized flash floods along tributary streams,high,Joint SDRF/NDRF highway clearance log during late-July 2024 monsoon storms.
CHAMOLI-FLD-2025-001,2025-08-14,,2025,8,Chamoli,Uttarakhand,Dewal,,Manmati village,Kail river / Pindar tributary,Pindar,flash_flood,cloudburst,severe,Localized cloudburst in high catchment spawned sudden flash flood in Kail river washing out footpaths and flooding several residential dwellings.,,0,,5,1 motor road culvert washed away isolating village,Agricultural terraces completely swept away by flood torrent,3 cowsheds destroyed and village drinking water network ruined,35,30.0456,79.6128,village,Census of India 2011 Village Registry geocoded,Monsoon Incident Log August 2025,State Emergency Operations Centre (SEOC) Dehradun,2025-08-16,https://usdma.uk.gov.in/seoc-log-2025,,Tier 1,Flash flood in Kail river caused by localized cloudburst inundated lower residential clusters in Manmati village,high,Official daily SEOC incident database record for Chamoli.
